연도,번호,도서명,저자명,출판사명
2013,245,다다혁명 운동과 문학의 동시주의,정상균,학고방
2013,246,신채호문학연구초,김주현,소명출판
2013,247,"문학제도 및 민족어의 형성과 한국 근대문학(1890~1945)－제도, 언어, 양식의 지형도 연구",김영민,소명출판
2013,248,프로문학의 감성구조,손유경,소명출판
2013,249,문학사 연구와 문학교육,정호웅,푸른사상사
2013,250,"한국 현대소설, 이주와 상처의 미학",이정숙,푸른사상사
2013,251,미당 시의 무속적 연구,이영광,서정시학
2013,252,한국 현대문학과 경계의 상상력,김종욱,도서출판 역락
2013,253,한국현대소설사 (1~2),조남현,문학과지성사
2013,254,제국의 기억과 전유,정종현,도서출판 어문학사
2013,255,조선시대 악(樂)사상,한흥섭,소나무
2013,256,중고제 판소리 흔적을 찾아서,노재명,채륜
2013,257,경기음악,"노동은, 천현식, 모형오, 김문성, 조순자",민속원
2013,258,19세기 수학의 발전에 대한 강의,펠릭스 클라인,나남출판사
2013,259,수리통계학,김우철,민영사
2013,260,고급통계분석론,"이희연, 노승철",법문사
2013,261,르베그 적분(기원과 발달) ,,교우사
2013,262,"수, 도형, 확률, 양자논리학에서의 Topos",김호일,경북대학교출판부
2013,263,"비선형 동역학, 수리생물학과 사회과학",조슈아 엡스턴,(주)경문사
2013,264,대칭과 아름다운 우주,"리언 레더먼, 크리스토퍼 힐",승산
2013,265,원자력을 말하다,이익환,대영문화사
2013,266,"현대물리학, 시간과 우주의 비밀에 답하다",숀 캐럴,도서출판 다른세상
2013,267,바이오디젤,최주환,내하출판사
2013,268,숲의 생태적 관리,"이돈구, 강호상, 구창덕, 권기철, 김훈, 마릴린 사발바로 콤발리서, 니암 오소르 바투, 박병배, 박영대, 박인협, 박재인, 박필선, 박현, 서민환, 성주한, 신준환, 싸웅나잉우, 엄태원, 우수영, 이경학, 이영근, 이용권, 임종환, 조경진, 최선덕, 트란반도, 퐁구돔 찬사몬, 호와이문, 김갑태",(사)서울대학교출판문화원
2013,269,한국곤충대도감,"박규택, 권용정, 박종균, 배양섭, 배연재, 변봉규, 이봉우, 이승환, 이종욱, 이종은, 한경덕, 한호연, 국립수목원",지오북
2013,270,지구표층환경의 진화,가와하타 호사까,도서출판 씨아이알
2013,271,진화고생물학,하야미 이타루,(사)서울대학교출판문화원
2013,272,"대기모델링, 자료동화, 그리고 예측가능성",,(주)시그마프레스
2013,273,지구온난화,김준호,(사)서울대학교출판문화원
2013,274,기상통계론,"박정수, 류상범",전남대학교출판부
2013,275,해양생지화학개론,SUSAN M. LIBES,도서출판 아진
2013,276,생각에너지 숲,"홍경희, 김정화, 박낭희, 이선영, 김희숙, 고순화, 이옥경",(주)시그마프레스
2013,277,발효식품대전,정동효,도서출판 유한문화사
2013,278,북한의 옛집 3 : 그 기억과 재생(황해도 편),강영환,한국학술정보(주)
2013,279,로하스를 위한 친환경의복,박순자,도서출판 경춘사
2013,280,"지금, 중년을 말할 때","한경혜, 이정화",(주)교문사
2013,281,패션브랜드와 커뮤니케이션,"고은주, 이미아, 이미영",(주)교문사
2013,282,제복의 탄생-대한제국 서구식 문관대례복의 성립과 변천,이경미,민속원
2013,283,발효식품의 기능성,정동효,도서출판 신일북스
2013,284,의학 보건학 연구를 위한 범주형 자료 분석,유근영,한나래출판사
2013,285,청소년정신의학,고복자 외,(주)시그마프레스
2013,286,우울증,"박원명, 민경준",(주)시그마프레스
2013,287,"후두음성언어의학 (I, II)",손영익 외,(주)일조각
2013,288,클라미디아,최태열,한국학술정보(주)
2013,289,양악수술의 두 얼굴,김재승,(주)교문사
2013,290,유전성 유방암,이민혁 외,군자출판사
2013,291,"내분비외과학(갑상선,부갑상선,부신,내분비췌장)",강경호 외,군자출판사
2013,292,부정맥,"곽재진, 곽충환, 김기훈, 김남호, 김대경, 김대혁, 김성순, 김영훈, 김유호, 김윤년, 김종윤, 김준, 김준수, 김준형, 김지훈, 김진배, 남기병, 노태호, 박상원, 박종성, 박형섭, 박형욱, 박희남, 배은정, 성정훈, 신대희, 신동구, 안민수, 오동진, 오세일, 오용석, 온영근, 윤남식, 이경석, 이동일, 이만영, 이명용, 이문형, 이재원, 임홍의, 장성원, 장진근, 정병천, 정보영, 정중화, 조용근, 조정관, 진은선, 차태준, 최기준",군자출판사
2013,293,조류질병학,"김기석, 김재홍, 모인필, 민원기, 서상희, 성환우, 송창선, 장형관, 조경오",도서출판 한미의학
2013,294,7.0 Tesla MRI Brain White Matter Atlas,"Zang-Hee Cho, Je-Geun Chi, Fernando Calamante",범문에듀케이션
2013,295,"세포부착물질과 구강점막질환, 그리고 구강암","김성민, 이종호, 김명진, 명훈",(사)서울대학교출판문화원
2013,296,소아 심초음파,"최정연, 유정진, 권보상",(사)서울대학교출판문화원
2013,297,보건산업론,"김강립, 노연홍, 문창진, 박하영, 엄영진, 염용권, 이동모, 장현숙",수문사
