검색어 ,,,,,,,
총 333건 중 333건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
191,단행본,도시를 바꾸는 새 : 새의 선물을 도시에 들이는 법,"Beatley, Timothy",원더박스,639.978 022가,2022,
192,단행본,존버씨의 죽음 : 갈아넣고 쥐어짜고 태우는 일터는 어떻게 사회적 살인의 장소가 되는가,김영선,오월의봄,331.257 022가,2022,
193,단행본,인간은 왜 전쟁을 하는가 : 고고학으로 읽는 전쟁의 탄생,송목무언 松木武彦,생각과종이,355.0209 021갸,2021,
194,단행본,자코미누스 : 달과 철학을 사랑한 토끼,"Dautremer, Rébecca",다섯수레,843 D269r 022가,2022,
195,단행본,(5급공채 시험을 위한) 단권화 행정학 : 연습 170제,장재호,좋은책,351 021기,2021 / 증보판,
196,단행본,두려움과 공존 사이에서 : 외국인 이주노동자 유입에 대한 도시지역 원주민의 대응,이선화,學古房,331.62 021갸,2021,
197,단행본,메리에게 루이스가,"Lewis, C. S. (Clive Staples)",비아토르 : 알맹4U,283.092 L585 021가,2021,
198,단행본,근대의 관찰들,"Luhmann, Niklas",문학동네,301.01 021거,2021,
199,단행본,호텔 해운대 : 오선영 소설집,오선영,창비,811.37 오선영 호021가,2021,
200,단행본,베르베르 문명 : 서구중심주의에 가려진 이슬람과 아프리카의 재발견,임기대 林奇旲,한길사,961 021가,2021,
201,단행본,청년을 위한 정치는 없다 : 청년 정치의 오늘을 말하다,나종일,루아크,320.02 022가,2022,
202,단행본,나폴레옹 세계사,"Mikaberidze, Alexander",책과함께,940.27 022가,2022,
203,단행본,금주 다이어리 : 어느 애주가의 맨정신 체험기,"Pooley, Clare",복복서가,362.292 022가,2022,
204,단행본,딸에 대하여 : 김혜진 장편소설,김혜진,민음사,811.37 김혜진 딸017가,2017,
205,단행본,"기독교, 묻고 답하다",권수영 權秀榮,청송미디어,230 019갸,2019,
206,단행본,어떻게 인간과 공존하는 인공지능을 만들 것인가 : AI와 통제 문제,"Russell, Stuart J. (Stuart Jonathan)",김영사,006.301 021가,2021,
207,단행본,"대중문화, 정의와 기원",박근서,한국학술정보,306 021녀,2021,
208,단행본,쇼코의 미소 : 최은영 소설,최은영,문학동네,811.37 최은영 쇼016가,2016,
209,단행본,(데일 카네기) 인간관계론,"Carnegie, Dale",현대지성,158.1 019히24,2019,
210,단행본,은의 세계 : 위수정 소설,위수정,문학동네,811.37 위수정 은022가,2022,
211,단행본,하버드 100년 전통 말하기 수업 : 인생을 바꾸는 말하기 불변의 법칙,유여나 劉麗娜,리드리드출판,372.6 019가,2019,
212,단행본,"우리, 이토록 작은 존재들을 위하여","Sagan, Sasha (Alexandra Rachel Druyan)",문학동네,390.0973 021가,2021,
