,주류,제목,저자,링크,출판사,출판 연도
412,500,(이공학도를 위한) 확률 및 통계학,"Walpole, Ronald E",https://library.yonsei.ac.kr/search/detail/CATTOT000000914169,자유아카데미,2011
413,500,(캠벨) 생명과학 : 1~5단원,"Campbell, Neil A.",https://library.yonsei.ac.kr/search/detail/CATTOT000002108636,바이오사이언스출판,2022
414,500,Advanced engineering mathematics,"Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000001638294,"John Wiley, & Sons, Inc.",2011
415,500,"Kreyszig 공업수학. 상, 상미분방정식·선형대수·벡터미적분","Kreyszig, Erwin",https://library.yonsei.ac.kr/search/detail/CATTOT000002143193,텍스트북스,2023
416,500,Transport phenomena,"Bird, R. Byron (Robert Byron)",https://library.yonsei.ac.kr/search/detail/CATTOT000001347311,J. Wiley,2007
417,500,다윈의 식탁 : 논쟁으로 맛보는 현대 진화론의 진수,장대익,https://library.yonsei.ac.kr/search/detail/CATTOT000000897939,바다출판사,2014
418,500,"랩 걸 : 나무, 과학 그리고 사랑","Jahren, Hope",https://library.yonsei.ac.kr/search/detail/CATTOT000001833831,alma,2017
419,500,무기화학,"Miessler, Gary L.",https://library.yonsei.ac.kr/search/detail/CATTOT000000910999,자유아카데미,2015
420,500,선형대수학,"Poole, David",https://library.yonsei.ac.kr/search/detail/CATTOT000000911858,경문사,2015
421,500,실험실 생활 : 과학적 사실의 구성,"Latour, Bruno",https://library.yonsei.ac.kr/search/detail/CATTOT000001934819,한울아카데미,2019
422,500,이동현상,"Bird, R. Byron (Robert Byron)",https://library.yonsei.ac.kr/search/detail/CATTOT000000896363,범한서적주식회사,2014
423,500,자연에 이름 붙이기 : 보이지 않던 세계가 보이기 시작할 때,"Yoon, Carol Kaesuk",https://library.yonsei.ac.kr/search/detail/CATTOT000002177409,윌북,2023
424,500,최신선형대수,"Anton, Howard",https://library.yonsei.ac.kr/search/detail/CATTOT000000114664,학술정보,2004
425,500,(Goodman's) 의학 세포생물학,"Goodman, Steven R",https://library.yonsei.ac.kr/search/detail/CATTOT000002176456,월드사이언스,2023
426,500,(Hartwell) 유전학 : 유전자에서 유전체까지,"Hartwell, Leland",https://library.yonsei.ac.kr/search/detail/CATTOT000002193014,교문사,2022
427,500,(No bullshit) 선형대수학 가이드,"Savov, Ivan",https://library.yonsei.ac.kr/search/detail/CATTOT000002073949,한빛아카데미,2020
428,500,(SPSS를 이용한) 통계자료분석,이기훈,https://library.yonsei.ac.kr/search/detail/CATTOT000001782117,자유아카데미,2014
429,500,(SPSS를 활용한) 통계자료분석,박영옥,https://library.yonsei.ac.kr/search/detail/CATTOT000001782115,경문사,2016
430,500,(STATA로 배우는) 구조방정식모형,정성호,https://library.yonsei.ac.kr/search/detail/CATTOT000001810090,한나래아카데미,2016
431,500,(공학인증을 위한) 확률과 통계,이재원 李在元,https://library.yonsei.ac.kr/search/detail/CATTOT000001937467,북스힐,2019
432,500,"(데이터분석 전문가를 위한) 고급회귀분석 : 기본개념, 이론 그리고 R 실습",박성현,https://library.yonsei.ac.kr/search/detail/CATTOT000002158268,민영사,2023
433,500,(방탕하고 쟁취하며 군림하는) 암컷들,"Cooke, Lucy",https://library.yonsei.ac.kr/search/detail/CATTOT000002150369,웅진지식하우스,2023
